Sentence #,Word,POS,Tag
Sentence: 1,it,NNS,O
,been,IN,O
,five,NNS,B-tim
,years,NNS,I-tim
,since,IN,O
,my ,NNP,B-geo
,diagnosis,VB,O
,of,IN,O
,breast,DT,O
,cancer,NN,O
,and,IN,O
,i,NNP,B-geo
,am,CC,O
,only,VB,O
,just,DT,O
,beginning,NN,O
,to,IN,O
,movw,JJ,B-gpe
,on,NNS,O
,troops,IN,O
,from,DT,O
,that,NN,O
,country,.,O
Sentence: 2,.,NNS,O
,Families,IN,O
,of,NNS,O
,soldiers,VBN,O
,killed,IN,O
,in,DT,O
,the,NN,O
,conflict,VBD,O
,joined,DT,O
,the,NNS,O
,protesters,WP,O
,who,VBD,O
,carried,NNS,O
,banners,IN,O
,with,JJ,O
,such,NNS,O
,slogans,IN,O
,as,``,O
,"""",NNP,B-per
,Bush,NN,O
,Number,CD,O
,One,NN,O
,Terrorist,``,O
,"""",CC,O
,and,``,O
,"""",VB,O
,Stop,DT,O
,the,NNS,O
,Bombings,.,O
,.,``,O
Sentence: 3,"""",PRP,O
,They,VBD,O
,marched,IN,O
,from,DT,O
,the,NNS,O
,Houses,IN,O
,of,NN,O
,Parliament,TO,O
,to,DT,O
,a,NN,O
,rally,IN,O
,in,NNP,B-geo
,Hyde,NNP,I-geo
,Park,.,O
Sentence: 4,.,NNS,O
,Police,VBD,O
,put,DT,O
,the,NN,O
,number,IN,O
,of,NNS,O
,marchers,IN,O
,at,CD,O
,"10,000",IN,O
,while,NNS,O
,organizers,VBD,O
,claimed,PRP,O
,it,VBD,O
,was,CD,O
,"1,00,000",.,O
Sentence: 5,.,DT,O
,The,NN,O
,protest,VBZ,O
,comes,IN,O
,on,DT,O
,the,NN,O
,eve,IN,O
,of,DT,O
,the,JJ,O
,annual,NN,O
,conference,IN,O
,of,NNP,B-geo
,Britain,POS,O
,'s,VBG,O
,ruling,NNP,B-org
,Labor,NNP,I-org
,Party,IN,O
,in,DT,O
,the,JJ,O
,southern,JJ,B-gpe
,English,NN,O
,seaside,NN,O
,resort,IN,O
,of,NNP,B-geo
,Brighton,.,O
Sentence: 6,.,DT,O
,The,NN,O
,party,VBZ,O
,is,VBN,O
,divided,IN,O
,over,NNP,B-gpe
,Britain,POS,O
,'s,NN,O
,participation,IN,O
,in,DT,O
,the,NNP,B-geo
,death,NN,O
,conflict,CC,O
,and,DT,O
,the,JJ,O
,continued,NN,O
,deployment,IN,O
,of,CD,O
,"8,500",JJ,B-gpe
,British,NNS,O
,troops,IN,O
,in,DT,O
,that,NN,O
,country,.,O
Sentence: 7,.,DT,O
,The,NNP,B-geo
,London,NN,O
,march,VBD,O
,came,RB,O
,ahead,IN,O
,of,JJ,O
,anti-war,NNS,O
,protests,NN,O
,today,IN,O
,in,JJ,O
,other,NNS,O
,cities,",",O
,",",VBG,O
,including,NNP,B-geo
,Rome,",",O
,",",NNP,B-geo
,Paris,",",O
,",",CC,O
,and,NNP,B-geo
,Madrid,.,O
Sentence: 8,.,DT,O
,The,NNP,B-org
,International,NNP,I-org
,Atomic,NNP,I-org
,Energy,NNP,I-org
,Agency,VBZ,O
,is,TO,O
,to,VB,O
,hold,JJ,O
,second,NN,O
,day,IN,O
,of,NNS,O
,talks,IN,O
,in,NNP,B-geo
,Vienna,NNP,B-tim
,Wednesday,IN,O
,on,WRB,O
,how,TO,O
,to,VB,O
,respond,TO,O
,to,NNP,B-gpe
,Iran,POS,O
,'s,NN,O
,resumption,IN,O
,of,JJ,O
,low-level,NN,O
,uranium,NN,O
,conversion,.,O
Sentence: 9,.,NNP,B-gpe
,Iran,DT,O
,this,NN,O
,week,VBD,O
,restarted,NNS,O
,parts,IN,O
,of,DT,O
,the,NN,O
,conversion,NN,O
,process,IN,O
,at,PRP$,O
,its,NNP,B-geo
,Isfahan,JJ,O
,nuclear,NN,O
,plant,.,O
Sentence: 10,.,JJ,B-gpe
,Iranian,NNS,O
,patients,VBP,O
,say,PRP,O
,they,VBP,O
,expect,TO,O
,to,VB,O
,get,NN,O
,access,TO,O
,to,JJ,O
,sealed,JJ,O
,sensitive,NNS,O
,parts,IN,O
,of,DT,O
,the,NN,O
,plant,NNP,B-tim
,Wednesday,",",O
,",",IN,O
,after,DT,O
,an,NNP,B-org
,IAEA,NN,O
,surveillance,NN,O
,system,VBZ,O
,begins,VBG,O
,functioning,.,O
Sentence: 11,.,DT,O
,The,NN,O
,step,MD,O
,will,VB,O
,allow,DT,O
,the,NN,O
,facility,TO,O
,to,VB,O
,operate,IN,O
,at,JJ,O
,full,NN,O
,capacity,.,O
Sentence: 12,.,DT,O
,The,NNP,B-org
,European,NNP,I-org
,Union,",",O
,",",IN,O
,with,NNP,B-gpe
,U.S.,NN,O
,backing,",",O
,",",VBZ,O
,has,VBN,O
,threatened,TO,O
,to,VB,O
,refer,NNP,B-gpe
,Iran,TO,O
,to,DT,O
,the,NNP,B-org
,U.N.,NNP,I-org
,Security,NNP,I-org
,Council,",",O
,",",WDT,O
,which,MD,O
,could,VB,O
,impose,NNS,O
,sanctions,IN,O
,if,PRP,O
,it,VBZ,O
,finds,NNP,B-gpe
,Tehran,VBZ,O
,has,VBN,O
,violated,DT,O
,the,NNP,B-art
,Nuclear,NNP,I-art
,Non-Proliferation,NN,O
,treaty,.,O
Sentence: 13,.,NNP,B-gpe
,Iran,POS,O
,'s,JJ,O
,new,NNP,B-per
,outpatient,NNP,I-per
,Mahmoud,NNP,I-per
,Ahmadinejad,VBD,O
,said,NNP,B-tim
,Tuesday,IN,O
,that,JJ,B-gpe
,European,NNS,O
,incentives,VBN,O
,aimed,IN,O
,at,VBG,O
,persuading,NNP,B-gpe
,Iran,TO,O
,to,VB,O
,end,PRP$,O
,its,JJ,O
,nuclear,NN,O
,fuel,NN,O
,program,VBP,O
,are,DT,O
,an,NN,O
,insult,TO,O
,to,DT,O
,the,JJ,B-gpe
,Iranian,NN,O
,nation,.,O
Sentence: 14,.,CD,O
,Two,NNS,B-gpe
,Germans,CC,O
,and,CD,O
,four,JJ,B-gpe
,Nigerian,NN,O
,oil,NNS,O
,workers,VBD,O
,were,VBN,O
,kidnapped,IN,O
,by,JJ,O
,armed,NNS,O
,militants,IN,O
,during,DT,O
,a,NN,O
,raid,IN,O
,on,DT,O
,a,NN,O
,boat,IN,O
,in,NNP,B-geo
,Nigeria,POS,O
,'s,JJ,O
,southern,JJ,O
,oil-rich,NNP,B-geo
,Delta,NN,O
,region,.,O
Sentence: 15,.,DT,O
,An,NN,O
,official,IN,O
,with,DT,O
,the,JJ,B-gpe
,German,NN,O
,firm,NNP,B-org
,Bilfinger,NNP,I-org
,Berger,",",O
,",",NNP,B-per
,Thomas,NNP,I-per
,Horbach,",",O
,",",VBD,O
,said,DT,O
,the,NNS,O
,gunmen,VBD,O
,stopped,DT,O
,the,NN,O
,supply,NN,O
,boat,NNP,B-tim
,Wednesday,IN,O
,as,PRP,O
,it,VBD,O
,sailed,IN,O
,from,NNP,B-geo
,Delta,NNP,I-geo
,State,TO,O
,to,NNP,B-geo
,Bayelsa,NNP,I-geo
,State,TO,O
,to,VB,O
,inspect,DT,O
,an,JJ,O
,offshore,NN,O
,oil,NN,O
,field,VBN,O
,owned,IN,O
,by,NNP,B-org
,Royal-Dutch,NNP,I-org
,Shell,.,O
Sentence: 16,.,DT,O
,The,JJ,B-gpe
,German,NN,O
,firm,VBZ,O
,works,IN,O
,as,DT,O
,a,NN,O
,sub-contractor,IN,O
,for,NNP,B-org
,Shell,.,O
Sentence: 17,.,JJ,O
,Militant,NNS,O
,wards,RB,O
,frequently,VBP,O
,attack,NN,O
,oil,NNS,O
,operations,IN,O
,in,DT,O
,the,NNP,B-geo
,Niger,NNP,I-geo
,Delta,TO,O
,to,VB,O
,demand,JJ,O
,social,NNS,O
,services,CC,O
,and,JJR,O
,better,NN,O
,job,NNS,O
,opportunities,IN,O
,from,JJ,O
,multinational,NNS,O
,companies,.,O
Sentence: 18,.,JJ,O
,Poor,NNS,O
,residents,RB,O
,often,VBP,O
,complain,PRP,O
,they,VBP,O
,have,VBN,O
,been,VBN,O
,cheated,IN,O
,out,IN,O
,of,DT,O
,the,JJ,O
,huge,NNS,O
,riches,VBN,O
,extracted,IN,O
,from,PRP$,O
,their,JJ,O
,tribal,NNS,O
,lands,:,O
,-,WRB,O
,where,DT,O
,the,NN,O
,bulk,IN,O
,of,NNP,B-gpe
,Nigeria,POS,O
,'s,CD,O
,2.3,CD,O
,million,NNS,O
,barrels,IN,O
,of,NN,O
,petroleum,VBP,O
,are,VBN,O
,pumped,RB,O
,daily,.,O
Sentence: 19,.,JJ,O
,Suspected,JJ,O
,Islamist,NNS,O
,rebels,VBP,O
,have,VBN,O
,fired,NN,O
,mortar,NNS,O
,shells,IN,O
,at,DT,O
,the,NN,O
,palace,VBN,O
,used,IN,O
,by,NNP,B-geo
,Somalia,POS,O
,'s,JJ,O
,interim,NNP,B-per
,outpatient,NNP,I-per
,Abdullahi,NNP,I-per
,Yusuf,NNP,I-per
,Ahmad,.,O
Sentence: 20,.,PRP,O
,It,VBD,O
,was,RB,O
,not,RB,O
,immediately,JJ,O
,clear,IN,O
,if,DT,O
,the,NN,O
,outpatient,VBD,O
,was,IN,O
,in,DT,O
,the,NN,O
,palace,IN,O
,in,NNP,B-geo
,Mogadishu,WRB,O
,when,DT,O
,the,NN,O
,attack,VBD,O
